Year,CO2,CH4,N20,CFC,HCFC,HFC
1979,1.025,0.500,0.088,0.175,0.008,0.001
1980,1.058,0.509,0.088,0.185,0.009,0.001
1981,1.076,0.517,0.091,0.195,0.010,0.001
1982,1.088,0.525,0.095,0.205,0.011,0.001
1983,1.114,0.528,0.097,0.215,0.012,0.001
1984,1.138,0.532,0.100,0.225,0.013,0.002
1985,1.161,0.538,0.101,0.236,0.014,0.002
1986,1.182,0.544,0.105,0.247,0.015,0.002
1987,1.208,0.550,0.104,0.260,0.016,0.002
1988,1.247,0.555,0.106,0.275,0.017,0.002
1989,1.271,0.560,0.110,0.287,0.018,0.003
1990,1.290,0.564,0.112,0.296,0.020,0.003
1991,1.310,0.569,0.114,0.304,0.021,0.003
1992,1.321,0.574,0.116,0.311,0.022,0.003
1993,1.332,0.574,0.117,0.314,0.024,0.004
1994,1.354,0.577,0.119,0.315,0.025,0.004
1995,1.381,0.580,0.119,0.317,0.027,0.005
1996,1.408,0.581,0.122,0.317,0.028,0.005
1997,1.424,0.582,0.125,0.317,0.030,0.006
1998,1.462,0.587,0.127,0.317,0.031,0.007
1999,1.493,0.590,0.129,0.317,0.033,0.008
2000,1.511,0.591,0.133,0.316,0.035,0.008
2001,1.533,0.590,0.135,0.315,0.036,0.010
2002,1.562,0.590,0.137,0.314,0.038,0.011
2003,1.599,0.592,0.139,0.312,0.039,0.012
2004,1.625,0.592,0.141,0.311,0.040,0.013
2005,1.654,0.591,0.143,0.309,0.042,0.015
2006,1.684,0.591,0.146,0.308,0.043,0.016
2007,1.709,0.594,0.148,0.306,0.045,0.018
2008,1.739,0.597,0.151,0.304,0.048,0.019
2009,1.759,0.599,0.153,0.302,0.049,0.021
2010,1.791,0.602,0.156,0.299,0.051,0.023
2011,1.816,0.604,0.159,0.297,0.053,0.024
2012,1.845,0.606,0.161,0.295,0.054,0.026
2013,1.882,0.608,0.164,0.293,0.056,0.028
2014,1.908,0.612,0.168,0.291,0.057,0.030
2015,1.939,0.617,0.171,0.289,0.058,0.032
2016,1.986,0.621,0.173,0.288,0.059,0.034
2017,2.014,0.624,0.175,0.286,0.060,0.037
2018,2.046,0.627,0.179,0.284,0.060,0.039
2019,2.079,0.631,0.182,0.282,0.061,0.041
2020,2.110,0.636,0.185,0.279,0.061,0.044
2021,2.140,0.643,0.189,0.276,0.061,0.046
2022,2.170,0.650,0.193,0.274,0.061,0.049
