country,year,co2_emissions,co2_emissions_(millions),avg_temp_yoy
China,1990,2460744.017,2.46,7.636
China,1991,2584538.27,2.58,7.097166666666666
China,1992,2695982.067,2.7,6.858416666666667
China,1993,2878694.009,2.88,6.919416666666667
China,1994,3058241.33,3.06,7.4959999999999996
China,1995,3320285.15,3.32,7.2115833333333335
China,1996,3463089.131,3.46,6.962666666666667
China,1997,3469510.048,3.47,7.367333333333334
China,1998,3324344.519,3.32,8.051833333333333
China,1999,3318055.614,3.32,7.84025
China,2000,3405179.867,3.41,7.238083333333333
China,2001,3487566.356,3.49,7.596416666666666
China,2002,3694242.143,3.69,7.7956666666666665
China,2003,4525177.009,4.53,7.521999999999999
China,2004,5288166.032,5.29,7.71275
China,2005,5790016.984,5.79,7.4135
China,2006,6414463.08,6.41,7.948
China,2007,6791804.714,6.79,8.12675
China,2008,7031916.207,7.03,7.566083333333334
