country,year,co2_emissions,co2_emissions_(millions),avg_temp_yoy
United States,1990,4879376.206,4.88,9.521583333333334
United States,1991,4870238.042,4.87,9.493666666666666
United States,1992,4876006.233,4.88,9.056333333333333
United States,1993,5167485.062,5.17,8.86725
United States,1994,5227176.488,5.23,9.270333333333333
United States,1995,5237968.469,5.24,9.331000000000001
United States,1996,5343512.063,5.34,8.754333333333333
United States,1997,5501365.412,5.5,9.172916666666667
United States,1998,5449077.659,5.45,10.141166666666667
United States,1999,5528149.18,5.53,9.567
United States,2000,5512399.415,5.51,9.64975
United States,2001,5389928.949,5.39,9.785583333333333
United States,2002,5437816.302,5.44,9.816166666666666
United States,2003,5471754.387,5.47,9.755083333333333
United States,2004,5563799.754,5.56,9.6675
United States,2005,5595357.956,5.6,9.892666666666667
United States,2006,5514775.631,5.51,9.9745
United States,2007,5581537.033,5.58,9.8375
United States,2008,5461013.744,5.46,8.951416666666667
China,1990,2460744.017,2.46,7.636
China,1991,2584538.27,2.58,7.097166666666666
China,1992,2695982.067,2.7,6.858416666666667
China,1993,2878694.009,2.88,6.919416666666667
China,1994,3058241.33,3.06,7.4959999999999996
China,1995,3320285.15,3.32,7.2115833333333335
China,1996,3463089.131,3.46,6.962666666666667
China,1997,3469510.048,3.47,7.367333333333334
China,1998,3324344.519,3.32,8.051833333333333
China,1999,3318055.614,3.32,7.84025
China,2000,3405179.867,3.41,7.238083333333333
China,2001,3487566.356,3.49,7.596416666666666
China,2002,3694242.143,3.69,7.7956666666666665
China,2003,4525177.009,4.53,7.521999999999999
China,2004,5288166.032,5.29,7.71275
China,2005,5790016.984,5.79,7.4135
China,2006,6414463.08,6.41,7.948
China,2007,6791804.714,6.79,8.12675
China,2008,7031916.207,7.03,7.566083333333334
