country,year,co2_emissions,co2_emissions_(millions),avg_temp_yoy
United States,1990,4879376.206,4.88,9.521583333333334
United States,1991,4870238.042,4.87,9.493666666666666
United States,1992,4876006.233,4.88,9.056333333333333
United States,1993,5167485.062,5.17,8.86725
United States,1994,5227176.488,5.23,9.270333333333333
United States,1995,5237968.469,5.24,9.331000000000001
United States,1996,5343512.063,5.34,8.754333333333333
United States,1997,5501365.412,5.5,9.172916666666667
United States,1998,5449077.659,5.45,10.141166666666667
United States,1999,5528149.18,5.53,9.567
United States,2000,5512399.415,5.51,9.64975
United States,2001,5389928.949,5.39,9.785583333333333
United States,2002,5437816.302,5.44,9.816166666666666
United States,2003,5471754.387,5.47,9.755083333333333
United States,2004,5563799.754,5.56,9.6675
United States,2005,5595357.956,5.6,9.892666666666667
United States,2006,5514775.631,5.51,9.9745
United States,2007,5581537.033,5.58,9.8375
United States,2008,5461013.744,5.46,8.951416666666667
