country,year,co2_emissions
Aruba,1990,1840.834
Andorra,1990,
Afghanistan,1990,2676.91
Angola,1990,4429.736
Albania,1990,7488.014
United Arab Emirates,1990,52009.061
Argentina,1990,112613.57
Armenia,1990,
American Samoa,1990,
Antigua and Barbuda,1990,300.694
Australia,1990,287331.452
Austria,1990,60960.208
Azerbaijan,1990,
Burundi,1990,304.361
Belgium,1990,108469.86
Benin,1990,715.065
Burkina Faso,1990,586.72
Bangladesh,1990,15533.412
Bulgaria,1990,77729.399
Bahrain,1990,11884.747
"Bahamas, The",1990,1950.844
Bosnia and Herzegovina,1990,
Belarus,1990,
Belize,1990,311.695
Bermuda,1990,597.721
Bolivia,1990,5504.167
Brazil,1990,208886.988
Barbados,1990,1074.431
Brunei Darussalam,1990,6420.917
Bhutan,1990,128.345
Botswana,1990,2178.198
Central African Republic,1990,198.018
Canada,1990,450076.579
Switzerland,1990,42966.239
Channel Islands,1990,
Chile,1990,34902.506
China,1990,2460744.017
Cote d'Ivoire,1990,5797.527
Cameroon,1990,1738.158
"Congo, Rep.",1990,1188.108
Cook Islands,1990,22.002
Colombia,1990,57337.212
Comoros,1990,77.007
Cape Verde,1990,88.008
Costa Rica,1990,2955.602
Cuba,1990,33340.364
Curacao,1990,
Cayman Islands,1990,253.023
Cyprus,1990,4653.423
Czech Republic,1990,
Germany,1990,55.005
Djibouti,1990,399.703
Dominica,1990,58.672
Denmark,1990,50421.25
Dominican Republic,1990,9570.87
Algeria,1990,78895.505
East Asia & Pacific,1990,3093880.16469856
Europe & Central Asia,1990,
Ecuador,1990,16835.197
"Egypt, Arab Rep.",1990,75943.57
Euro area,1990,1649668.42640033
Eritrea,1990,
Spain,1990,227592.355
Estonia,1990,
Ethiopia,1990,3017.941
Finland,1990,50941.964
Fiji,1990,817.741
France,1990,399028.272
Faeroe Islands,1990,623.39
"Micronesia, Fed. Sts.",1990,
Gabon,1990,4844.107
United Kingdom,1990,570218.5
Georgia,1990,
Ghana,1990,3931.024
Gibraltar,1990,95.342
Guinea,1990,1056.096
"Gambia, The",1990,190.684
Guinea-Bissau,1990,253.023
Equatorial Guinea,1990,121.011
Greece,1990,72723.944
Grenada,1990,121.011
Greenland,1990,557.384
Guatemala,1990,5086.129
Guam,1990,
Guyana,1990,1140.437
High income,1990,10605543.0629947
"Hong Kong SAR, China",1990,27660.181
Honduras,1990,2592.569
Croatia,1990,
Haiti,1990,993.757
Hungary,1990,62991.726
Indonesia,1990,149565.929
Isle of Man,1990,
India,1990,690576.774
Ireland,1990,30417.765
"Iran, Islamic Rep.",1990,227185.318
Iraq,1990,52555.444
Iceland,1990,2071.855
Israel,1990,33534.715
Italy,1990,424183.892
Jamaica,1990,7964.724
Jordan,1990,10403.279
Japan,1990,1094705.843
Kazakhstan,1990,
Kenya,1990,5823.196
Kyrgyz Republic,1990,
Cambodia,1990,451.041
Kiribati,1990,22.002
St. Kitts and Nevis,1990,66.006
"Korea, Rep.",1990,243815.163
Kosovo,1990,
Kuwait,1990,45423.129
Latin America & Caribbean,1990,986228.649
Lao PDR,1990,234.688
Lebanon,1990,9097.827
Liberia,1990,484.044
Libya,1990,40318.665
St. Lucia,1990,165.015
Low income,1990,329171.317562467
Liechtenstein,1990,
Sri Lanka,1990,3773.343
Lower middle income,1990,1981551.51160066
Low & middle income,1990,9540578.44436122
Lesotho,1990,
Lithuania,1990,
Luxembourg,1990,9893.566
Latvia,1990,
"Macao SAR, China",1990,1034.094
St. Martin (French part),1990,
Morocco,1990,23542.14
Monaco,1990,
Moldova,1990,
Madagascar,1990,986.423
Maldives,1990,154.014
Mexico,1990,325603.931
Marshall Islands,1990,47.671
Middle income,1990,9206507.1897381
"Macedonia, FYR",1990,
Mali,1990,421.705
Malta,1990,2178.198
Myanmar,1990,4275.722
Middle East & North Africa,1990,566372.448569626
Montenegro,1990,
Mongolia,1990,10043.913
Northern Mariana Islands,1990,
Mozambique,1990,1001.091
Mauritania,1990,2665.909
Mauritius,1990,1463.133
Malawi,1990,612.389
Malaysia,1990,56592.811
Mayotte,1990,
Namibia,1990,7.334
New Caledonia,1990,1624.481
Niger,1990,832.409
Nigeria,1990,45375.458
Nicaragua,1990,2643.907
Niue,1990,3.667
Netherlands,1990,164127.586
Norway,1990,31330.848
Nepal,1990,634.391
Nauru,1990,132.012
New Zealand,1990,24022.517
Oman,1990,10351.941
Pakistan,1990,68565.566
Panama,1990,3135.285
Peru,1990,21169.591
Philippines,1990,44532.048
Palau,1990,234.688
Papua New Guinea,1990,2141.528
Poland,1990,366773.34
Puerto Rico,1990,
"Korea, Dem. Rep.",1990,244834.589
Portugal,1990,43725.308
Paraguay,1990,2262.539
French Polynesia,1990,630.724
Qatar,1990,11774.737
Romania,1990,158861.774
Russian Federation,1990,
Rwanda,1990,682.062
South Asia,1990,782042.755
Saudi Arabia,1990,215054.882
Sudan,1990,5559.172
Senegal,1990,3182.956
Singapore,1990,46941.267
Small island developing states,1990,175300.037959028
Solomon Islands,1990,161.348
Sierra Leone,1990,388.702
El Salvador,1990,2618.238
San Marino,1990,
Somalia,1990,18.335
Serbia,1990,
Sub-Saharan Africa,1990,464093.668056886
Sao Tome and Principe,1990,66.006
Suriname,1990,1811.498
Slovak Republic,1990,
Slovenia,1990,
Sweden,1990,51708.367
Swaziland,1990,425.372
Sint Maarten (Dutch part),1990,
Seychelles,1990,113.677
Syrian Arab Republic,1990,37451.071
Turks and Caicos Islands,1990,
Chad,1990,146.68
Togo,1990,773.737
Thailand,1990,95833.378
Tajikistan,1990,
Turkmenistan,1990,
Timor-Leste,1990,
Tonga,1990,77.007
Trinidad and Tobago,1990,16959.875
Tunisia,1990,13267.206
Turkey,1990,150790.707
Tuvalu,1990,
